time,S1,S2,S3
   0.00000,   0.86754,   0.26690,   0.27259
   0.64516,   1.02860,   0.01122,   0.18560
   1.29032,   0.44154,   0.32060,   0.00554
   1.93548,   0.43954,   0.36957,   0.06387
   2.58065,   0.32916,   0.98538,   0.26360
   3.22581,   0.33801,   0.62970,   0.20367
   3.87097,   0.27634,   0.29844,   0.15980
   4.51613,   0.17053,   0.31626,   0.28957
   5.16129,   0.08370,   0.42113,   0.29683
   5.80645,   0.36480,   0.13585,   0.41378
   6.45161,   0.35721,   0.43913,   0.39757
   7.09677,   0.03576,   0.72523,   0.42855
   7.74194,   0.33298,   0.08630,   0.91731
   8.38710,   0.24801,   0.45451,   0.51358
   9.03226,   0.17444,   0.28691,   0.76473
   9.67742,   0.06756,   0.34992,   0.85760
  10.32258,   0.26767,   0.12485,   0.47245
  10.96774,   0.13785,   0.37268,   1.20403
  11.61290,   0.00079,   0.26413,   0.66106
  12.25806,   0.13653,   0.14966,   0.65213
  12.90323,   0.12626,   0.40522,   0.79041
  13.54839,   0.16189,   0.06809,   1.15116
  14.19355,   0.34158,   0.11599,   0.83623
  14.83871,   0.00856,   0.45554,   0.93263
  15.48387,   0.17813,   0.29144,   0.84998
  16.12903,   0.11909,   0.04323,   0.89955
  16.77419,   0.11118,   0.50210,   0.80886
  17.41935,   0.44179,   0.23055,   0.65899
  18.06452,   0.37372,   0.05428,   0.90014
  18.70968,   0.03788,   0.42307,   1.01183
  19.35484,   0.09630,   0.22205,   1.01941
  20.00000,   0.14973,   0.10580,   1.08344
